datereceived,product,issue,subissue,companypublicresponse,company,state,zipcode,tags,consumerconsentprovided,submittedvia,datesenttocompany,companyresponsetoconsumer,timelyresponse,consumerdisputed,year,states,population,product_type,month,_merge,num_product_timely,num_product_timely_permcap
2017-03-09,Bank account or service,"Account opening, closing, or management",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,GA,30317,,N/A,Referral,2017-03-13,Closed with explanation,No,No,2017,Georgia,10429379,account and service,03,Matched (3),742,71.145172
2017-05-19,Checking or savings account,Problem with a lender or other company charging your account,Transaction was not authorized,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NY,10029,,Consent not provided,Web,2017-05-19,Closed with explanation,Yes,N/A,2017,New York,19849399,account and service,05,Matched (3),22134,1115.0967
2017-09-06,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,,"Colony Brands, Inc.",NY,14220,,Consent provided,Web,2017-09-06,Untimely response,No,N/A,2017,New York,19849399,credit processing,09,Matched (3),2337,117.73656
2017-02-09,Credit reporting,Incorrect information on credit report,Account status,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,IL,604XX,,Consent not provided,Web,2017-02-09,Closed with explanation,Yes,No,2017,Illinois,12802023,credit processing,02,Matched (3),108932,8508.9678
2017-09-26,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,,"PMAB,LLC",NC,,,Consent provided,Web,2017-09-26,Closed with explanation,No,N/A,2017,North Carolina,10273419,debt and mortgage,09,Matched (3),3806,370.47064
2017-09-09,Debt collection,Communication tactics,"You told them to stop contacting you, but they keep trying",,TRANSWORLD SYSTEMS INC,TX,76182,,Consent not provided,Web,2017-09-09,Closed with explanation,Yes,N/A,2017,Texas,28304596,debt and mortgage,09,Matched (3),101026,3569.2437
2018-12-11,Checking or savings account,Closing an account,Company closed your account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IL,61109,Servicemember,Consent provided,Web,2018-12-11,Closed with explanation,No,N/A,2018,Illinois,12741080,account and service,12,Matched (3),214,16.796064
2018-03-12,Checking or savings account,Problem caused by your funds being low,Non-sufficient funds and associated fees,,JPMORGAN CHASE & CO.,FL,328XX,,Consent provided,Web,2018-03-12,Closed with non-monetary relief,Yes,N/A,2018,Florida,21299325,account and service,03,Matched (3),24394,1145.2946
2018-09-14,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,,"Fay Servicing, LLC",FL,33157,,Consent not provided,Web,2018-09-14,Closed with explanation,No,N/A,2018,Florida,21299325,credit processing,09,Matched (3),894,41.97316
2018-08-22,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,Personal information incorrect,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,SC,29853,,Consent not provided,Web,2018-08-22,Closed with non-monetary relief,Yes,N/A,2018,South Carolina,5084127,credit processing,08,Matched (3),132254,26013.119
2018-02-08,Debt collection,False statements or representation,Indicated you were committing crime by not paying debt,Company believes it acted appropriately as authorized by contract or law,First Advantage LNS Inc.,TX,76244,,Consent not provided,Web,2018-02-13,Closed with explanation,No,N/A,2018,Texas,28701845,debt and mortgage,02,Matched (3),3273,114.03448
2018-08-10,Debt collection,Took or threatened to take negative or legal action,Seized or attempted to seize your property,Company believes complaint represents an opportunity for improvement to better serve consumers,"HW Holding, Inc",IL,606XX,Servicemember,Consent provided,Web,2018-08-10,Closed with explanation,Yes,N/A,2018,Illinois,12741080,debt and mortgage,08,Matched (3),88770,6967.2271
2019-05-29,Checking or savings account,Managing an account,Banking errors,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,NC,287XX,,Consent provided,Web,2019-05-29,Closed with explanation,No,N/A,2019,North Carolina,10488084,account and service,05,Matched (3),506,48.245228
2019-03-19,Checking or savings account,Problem with a lender or other company charging your account,Transaction was not authorized,,"Paypal Holdings, Inc",MA,,,Consent provided,Web,2019-03-19,Closed with explanation,Yes,N/A,2019,Massachusetts,6892503,account and service,03,Matched (3),24247,3517.8801
2019-12-23,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,Information is incorrect,,Screening Reports Inc.,MD,21234,,Consent not provided,Web,2019-12-23,Untimely response,No,N/A,2019,Maryland,6045680,credit processing,12,Matched (3),1010,167.06143
2019-10-18,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,Information belongs to someone else,,"EQUIFAX, INC.",NJ,08016,,Consent not provided,Web,2019-10-18,Closed with non-monetary relief,Yes,N/A,2019,New Jersey,8882190,credit processing,10,Matched (3),160292,18046.451
2019-09-12,"Payday loan, title loan, or personal loan",Charged fees or interest you didn't expect,,,"Worldwide Processing Group, LLC",IN,47933,,N/A,Referral,2019-09-12,Untimely response,No,N/A,2019,Indiana,6732219,debt and mortgage,09,Matched (3),2577,382.78613
2019-10-31,Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"JDJ Investments, INC.",LA,714XX,,Consent provided,Web,2019-10-31,Closed with explanation,Yes,N/A,2019,Louisiana,4648794,debt and mortgage,10,Matched (3),80823,17385.799
