year,states,population,state
2017,Alabama,4874747,AL
2017,Alaska,739795,AK
2017,Arizona,7016270,AZ
2017,Arkansas,3004279,AR
2017,California,39536653,CA
2017,Colorado,5607154,CO
2017,Connecticut,3588184,CT
2017,Delaware,961939,DE
2017,District of Columbia,693972,DC
2017,Florida,20984400,FL
2017,Georgia,10429379,GA
2017,Hawaii,1427538,HI
2017,Idaho,1716943,ID
2017,Illinois,12802023,IL
2017,Indiana,6666818,IN
2017,Iowa,3145711,IA
2017,Kansas,2913123,KS
2017,Kentucky,4454189,KY
2017,Louisiana,4684333,LA
2017,Maine,1335907,ME
2017,Maryland,6052177,MD
2017,Massachusetts,6859819,MA
2017,Michigan,9962311,MI
2017,Minnesota,5576606,MN
2017,Mississippi,2984100,MS
2017,Missouri,6113532,MO
2017,Montana,1050493,MT
2017,Nebraska,1920076,NE
2017,Nevada,2998039,NV
2017,New Hampshire,1342795,NH
2017,New Jersey,9005644,NJ
2017,New Mexico,2088070,NM
2017,New York,19849399,NY
2017,North Carolina,10273419,NC
2017,North Dakota,755393,ND
2017,Ohio,11658609,OH
2017,Oklahoma,3930864,OK
2017,Oregon,4142776,OR
2017,Pennsylvania,12805537,PA
2017,Rhode Island,1059639,RI
2017,South Carolina,5024369,SC
2017,South Dakota,869666,SD
2017,Tennessee,6715984,TN
2017,Texas,28304596,TX
2017,Utah,3101833,UT
2017,Vermont,623657,VT
2017,Virginia,8470020,VA
2017,Washington,7405743,WA
2017,West Virginia,1815857,WV
2017,Wisconsin,5795483,WI
2017,Wyoming,579315,WY
2017,Puerto Rico,3337177,PR
2018,Alabama,4887871,AL
2018,Alaska,737438,AK
2018,Arizona,7171646,AZ
2018,Arkansas,3013825,AR
2018,California,39557045,CA
2018,Colorado,5695564,CO
2018,Connecticut,3572665,CT
2018,Delaware,967171,DE
2018,District of Columbia,702455,DC
2018,Florida,21299325,FL
2018,Georgia,10519475,GA
2018,Hawaii,1420491,HI
2018,Idaho,1754208,ID
2018,Illinois,12741080,IL
2018,Indiana,6691878,IN
2018,Iowa,3156145,IA
2018,Kansas,2911510,KS
2018,Kentucky,4468402,KY
2018,Louisiana,4659978,LA
2018,Maine,1338404,ME
2018,Maryland,6042718,MD
2018,Massachusetts,6902149,MA
2018,Michigan,9995915,MI
2018,Minnesota,5611179,MN
2018,Mississippi,2986530,MS
2018,Missouri,6126452,MO
2018,Montana,1062305,MT
2018,Nebraska,1929268,NE
2018,Nevada,3034392,NV
2018,New Hampshire,1356458,NH
2018,New Jersey,8908520,NJ
2018,New Mexico,2095428,NM
2018,New York,19542209,NY
2018,North Carolina,10383620,NC
2018,North Dakota,760077,ND
2018,Ohio,11689442,OH
2018,Oklahoma,3943079,OK
2018,Oregon,4190713,OR
2018,Pennsylvania,12807060,PA
2018,Rhode Island,1057315,RI
2018,South Carolina,5084127,SC
2018,South Dakota,882235,SD
2018,Tennessee,6770010,TN
2018,Texas,28701845,TX
2018,Utah,3161105,UT
2018,Vermont,626299,VT
2018,Virginia,8517685,VA
2018,Washington,7535591,WA
2018,West Virginia,1805832,WV
2018,Wisconsin,5813568,WI
2018,Wyoming,577737,WY
2018,Puerto Rico,3195153,PR
2019,Alabama,4903185,AL
2019,Alaska,731545,AK
2019,Arizona,7278717,AZ
2019,Arkansas,3017804,AR
2019,California,39512223,CA
2019,Colorado,5758736,CO
2019,Connecticut,3565287,CT
2019,Delaware,973764,DE
2019,District of Columbia,705749,DC
2019,Florida,21477737,FL
2019,Georgia,10617423,GA
2019,Hawaii,1415872,HI
2019,Idaho,1787065,ID
2019,Illinois,12671821,IL
2019,Indiana,6732219,IN
2019,Iowa,3155070,IA
2019,Kansas,2913314,KS
2019,Kentucky,4467673,KY
2019,Louisiana,4648794,LA
2019,Maine,1344212,ME
2019,Maryland,6045680,MD
2019,Massachusetts,6892503,MA
2019,Michigan,9986857,MI
2019,Minnesota,5639632,MN
2019,Mississippi,2976149,MS
2019,Missouri,6137428,MO
2019,Montana,1068778,MT
2019,Nebraska,1934408,NE
2019,Nevada,3080156,NV
2019,New Hampshire,1359711,NH
2019,New Jersey,8882190,NJ
2019,New Mexico,2096829,NM
2019,New York,19453561,NY
2019,North Carolina,10488084,NC
2019,North Dakota,762062,ND
2019,Ohio,11689100,OH
2019,Oklahoma,3956971,OK
2019,Oregon,4217737,OR
2019,Pennsylvania,12801989,PA
2019,Rhode Island,1059361,RI
2019,South Carolina,5148714,SC
2019,South Dakota,884659,SD
2019,Tennessee,6829174,TN
2019,Texas,28995881,TX
2019,Utah,3205958,UT
2019,Vermont,623989,VT
2019,Virginia,8535519,VA
2019,Washington,7614893,WA
2019,West Virginia,1792147,WV
2019,Wisconsin,5822434,WI
2019,Wyoming,578759,WY
2019,Puerto Rico,3193694,PR
